"variety","treatment","day","rib","cutSite","aStar"
"iceberg","cys500","1","B","2",-3.22048269532854
"iceberg","cys500","1","B","3",-2.73511840310546
"iceberg","cys500","1","B","4",-2.49860058791487
"iceberg","cys500","1","C","1",-1.17252321096728
"iceberg","cys500","1","C","2",-1.5458331826164
"iceberg","cys500","1","C","3",-2.30944105354825
"iceberg","cys500","1","C","4",-2.19199834149805
"iceberg","cys500","1","D","1",-2.07390717587815
"iceberg","cys500","1","D","2",-1.48391163428761
"iceberg","cys500","1","D","3",-1.40699022071188
"iceberg","cys500","3","A","1",6.93578394614645
"iceberg","cys500","3","A","2",2.47195848303897
"iceberg","cys500","3","A","3",1.65151925930556
"iceberg","cys500","3","A","4",1.1844198787026
"iceberg","cys500","3","A","5",1.95885824381332
"iceberg","cys500","3","B","1",2.38732518587606
"iceberg","cys500","3","B","2",3.15612490282544
"iceberg","cys500","3","B","3",2.41077059413007
"iceberg","cys500","3","B","4",2.4299423157625
"iceberg","cys500","3","C","1",4.37511105714748
"iceberg","cys500","3","C","2",4.31888861365483
"iceberg","cys500","3","C","3",2.13546081161664
"iceberg","cys500","3","C","4",1.6202665553388
"iceberg","cys500","3","D","1",2.19307968789
"iceberg","cys500","3","D","2",0.993617704889554
"iceberg","cys500","3","D","3",1.41967079919661
"iceberg","cys500","5","A","1",8.81081089111323
"iceberg","cys500","5","A","2",3.89722152971239
"iceberg","cys500","5","A","3",3.54146982287333
"iceberg","cys500","5","A","4",2.99049537814137
"iceberg","cys500","5","A","5",3.72742556237255
"iceberg","cys500","5","B","1",5.44682822586473
"iceberg","cys500","5","B","2",4.83739146331724
"iceberg","cys500","5","B","3",4.56195255325389
"iceberg","cys500","5","B","4",4.07855473251555
"iceberg","cys500","5","C","1",5.13660352612435
"iceberg","cys500","5","C","2",8.79255929745707
"iceberg","cys500","5","C","3",5.09561418736021
"iceberg","cys500","5","C","4",4.5296338304698
"iceberg","cys500","5","D","1",2.86560916631731
"iceberg","cys500","5","D","2",4.03582005031375
"iceberg","cys500","5","D","3",4.65978507186901
"iceberg","mel1000","1","A","1",-0.926166372937704
"iceberg","mel1000","1","A","2",-1.80432666865689
"iceberg","mel1000","1","A","3",-2.68897141398247
"iceberg","mel1000","1","B","1",-1.56422195770907
"iceberg","mel1000","1","B","2",-1.39933346370973
"iceberg","mel1000","1","B","3",-1.39112236912297
"iceberg","mel1000","1","C","1",-2.20146749866514
"iceberg","mel1000","1","C","2",-3.8390336166108
"iceberg","mel1000","1","C","3",-5.23166510286894
"iceberg","mel1000","1","D","1",-1.39425345183402
"iceberg","mel1000","1","D","2",-2.05922206212119
"iceberg","mel1000","1","D","3",-2.59055470949476
"iceberg","mel1000","1","D","4",-3.14038075187118
"iceberg","mel1000","3","A","1",-0.589335055770632
"iceberg","mel1000","3","A","2",-1.74635114287744
"iceberg","mel1000","3","A","3",-1.63663917582412
"iceberg","mel1000","3","B","1",-0.46435723320159
"iceberg","mel1000","3","B","2",-0.549921366216354
"iceberg","mel1000","3","B","3",0.170365073357547
"iceberg","mel1000","3","C","1",-1.06041066991691
"iceberg","mel1000","3","C","2",-3.12338394834249
"iceberg","mel1000","3","C","3",-2.80854112182106
"iceberg","mel1000","3","D","1",0.212140857765171
"iceberg","mel1000","3","D","2",-0.137161898231583
"iceberg","mel1000","3","D","3",0.107706867766658
"iceberg","mel1000","3","D","4",0.453398399914117
"iceberg","mel1000","5","A","1",-0.224883066018936
"iceberg","mel1000","5","A","2",-0.808128454398774
"iceberg","mel1000","5","A","3",-1.06117146730749
"iceberg","mel1000","5","B","1",0.395283819031967
"iceberg","mel1000","5","B","2",-0.259377501182163
"iceberg","mel1000","5","B","3",-0.444673185532576
"iceberg","mel1000","5","C","1",0.99790045661828
"iceberg","mel1000","5","C","2",-2.62162169905714
"iceberg","mel1000","5","C","3",-2.82389791253423
"iceberg","mel1000","5","D","1",0.267452990476081
"iceberg","mel1000","5","D","2",1.09629678690998
"iceberg","mel1000","5","D","3",-0.0968921160256998
"iceberg","mel1000","5","D","4",0.365017991094725
"romaine","control","1","A","1",-0.561469263031266
"romaine","control","1","A","2",-1.70679075156112
"romaine","control","1","A","3",-1.58067644197439
"romaine","control","1","A","4",-4.12933715185404
"romaine","control","1","A","5",-5.7814113686354
"romaine","control","1","A","6",-7.78753952492022
"romaine","control","1","A","7",-9.20990847206611
"romaine","control","1","A","8",-8.53201742381778
"romaine","control","1","A","9",-8.31114531084208
"romaine","control","1","B","1",-0.688596795958366
"romaine","control","1","B","2",-1.67483552243584
"romaine","control","1","B","3",-2.66100696831877
"romaine","control","1","B","4",-3.44719281597504
"romaine","control","1","B","5",-5.0070815846334
"romaine","control","1","B","6",-5.88789507803785
"romaine","control","1","B","7",-7.03785035214475
"romaine","control","1","B","8",-8.27364401692865
"romaine","control","1","B","9",-8.43112307178079
"romaine","control","1","C","1",-4.75270680567538
"romaine","control","1","C","2",-4.74952265558398
"romaine","control","1","C","3",-7.37451192967369
"romaine","control","1","C","4",-8.12919769600505
"romaine","control","1","C","5",-7.72378175941085
"romaine","control","1","C","6",-9.6541458948005
"romaine","control","1","C","7",-9.74618160873291
"romaine","control","1","C","8",-9.95859077503469
"romaine","control","1","C","9",-10.4490124810538
"romaine","control","1","D","1",-0.303103518567959
"romaine","control","1","D","2",0.805420493794338
"romaine","control","1","D","3",0.0981034720735668
"romaine","control","1","D","4",0.0862522617452296
"romaine","control","1","D","5",-1.10188642330793
"romaine","control","1","D","6",-1.49480378858198
"romaine","control","1","D","7",-3.08399355572157
"romaine","control","1","D","8",-3.55871228861739
"romaine","control","1","D","9",-4.04954094124643
"romaine","control","3","A","1",1.9612814296595
"romaine","control","3","A","2",1.68413562413874
"romaine","control","3","A","3",1.09498850843026
"romaine","control","3","A","4",-2.01363289252857
"romaine","control","3","A","5",-3.77358472804589
"romaine","control","3","A","6",-3.45647696891757
"romaine","control","3","A","7",-6.8208436069824
"romaine","control","3","A","8",-5.38152784456971
"romaine","control","3","A","9",-5.3982788128467
"romaine","control","3","B","1",1.22905186904299
"romaine","control","3","B","2",0.766620132928016
"romaine","control","3","B","3",0.315119266729227
"romaine","control","3","B","4",-0.513995672734727
"romaine","control","3","B","5",-1.58013445805967
"romaine","control","3","B","6",-3.0837253814388
"romaine","control","3","B","7",-5.33129393737738
"romaine","control","3","B","8",-5.70279434642075
"romaine","control","3","B","9",-6.2196363810865
"romaine","control","3","C","1",0.696729018588602
"romaine","control","3","C","2",-0.195629336372142
"romaine","control","3","C","3",-3.42272946774512
"romaine","control","3","C","4",-4.28560423911263
"romaine","control","3","C","5",-3.72536297041953
"romaine","control","3","C","6",-6.09759623664158
"romaine","control","3","C","7",-7.04984600935959
"romaine","control","3","C","8",-7.50295592977193
"romaine","control","3","C","9",-7.47717121052392
"romaine","control","3","D","1",1.57925105505633
"romaine","control","3","D","2",3.09561370304408
"romaine","control","3","D","3",1.30656584445175
"romaine","control","3","D","4",1.59469116820126
"romaine","control","3","D","5",-0.735374024073167
"romaine","control","3","D","6",-0.475043145220252
"romaine","control","3","D","7",-2.80895482120282
"romaine","control","3","D","8",-2.92475218321762
"romaine","control","3","D","9",-4.11334193057698
"romaine","control","5","A","1",3.03508862258062
"romaine","control","5","A","2",2.86113041948862
"romaine","control","5","A","3",3.00677426894419
"romaine","control","5","A","4",-0.640893992292889
"romaine","control","5","A","5",-1.59607743204445
"romaine","control","5","A","6",-2.39453488244309
"romaine","control","5","A","7",-6.00077787298628
"romaine","control","5","A","8",-5.13565956367081
"romaine","control","5","A","9",-5.00845907437719
"romaine","control","5","B","1",2.30075934704585
"romaine","control","5","B","2",2.67935245272423
"romaine","control","5","B","3",3.4504646767506
"romaine","control","5","B","4",2.59395699076718
"romaine","control","5","B","5",-0.340378989343855
"romaine","control","5","B","6",-1.24637813867252
"romaine","control","5","B","7",-4.68701978776233
"romaine","control","5","B","8",-5.23864981662991
"romaine","control","5","B","9",-4.68821359922035
"romaine","control","5","C","1",2.91999954315717
"romaine","control","5","C","2",1.89300227248577
"romaine","control","5","C","3",-1.88447897885616
"romaine","control","5","C","4",-2.39494151744139
"romaine","control","5","C","5",-2.348816383477
"romaine","control","5","C","6",-4.47887799448169
"romaine","control","5","C","7",-6.92885077511761
"romaine","control","5","C","8",-7.66185218511155
"romaine","control","5","C","9",-6.9415378222046
"romaine","control","5","D","1",4.66862002066161
"romaine","control","5","D","2",5.67650770249957
"romaine","control","5","D","3",3.1431220926858
"romaine","control","5","D","4",2.99808190262756
"romaine","control","5","D","5",0.349697857645607
"romaine","control","5","D","6",1.91958183872749
"romaine","control","5","D","7",-1.91352261751765
"romaine","control","5","D","8",-1.44151237694681
"romaine","control","5","D","9",-2.90979308892665
"romaine","cys500","1","A","1",-3.54807495836755
"romaine","cys500","1","A","2",-4.06217582158489
"romaine","cys500","1","A","3",-2.66960698910975
"romaine","cys500","1","A","4",-3.78454190715836
"romaine","cys500","1","A","5",-5.37531063330175
"romaine","cys500","1","A","6",-6.73458875553213
"romaine","cys500","1","A","7",-7.70007466445423
"romaine","cys500","1","A","8",-8.85152838486252
"romaine","cys500","1","A","9",-10.0581105334275
"romaine","cys500","1","B","1",-3.19891075856882
"romaine","cys500","1","B","2",-4.70460397605662
"romaine","cys500","1","B","3",-5.13885632251698
"romaine","cys500","1","B","4",-6.28418901790657
"romaine","cys500","1","B","5",-6.57117516975087
"romaine","cys500","1","B","6",-6.66514718450766
"romaine","cys500","1","B","7",-7.68964023826714
"romaine","cys500","1","B","8",-8.72304831749277
"romaine","cys500","1","B","9",-10.7228595536326
"romaine","cys500","1","C","1",-5.64804439939895
"romaine","cys500","1","C","2",-6.91065320640877
"romaine","cys500","1","C","3",-7.21005016160569
"romaine","cys500","1","C","4",-7.69559535528672
"romaine","cys500","1","C","5",-7.75951090785712
"romaine","cys500","1","C","6",-8.76667502303001
"romaine","cys500","1","C","7",-8.36053821760171
"romaine","cys500","1","C","8",-10.5571108301265
"romaine","cys500","1","C","9",-10.8553734331867
"romaine","cys500","1","D","1",-2.57013050120245
"romaine","cys500","1","D","2",-2.92260670654333
"romaine","cys500","1","D","3",-3.68762145215749
"romaine","cys500","1","D","4",-4.0794379879391
"romaine","cys500","1","D","5",-4.73497687633811
"romaine","cys500","1","D","6",-5.24170834039928
"romaine","cys500","1","D","7",-6.72296053613845
"romaine","cys500","1","D","8",-7.7208538494185
"romaine","cys500","1","D","9",-8.86123604968707
"romaine","cys500","3","A","1",-0.961505487781164
"romaine","cys500","3","A","2",-0.281177196277979
"romaine","cys500","3","A","3",2.54797323502434
"romaine","cys500","3","A","4",1.05969949697393
"romaine","cys500","3","A","5",-2.96393864413083
"romaine","cys500","3","A","6",-3.60376006638721
"romaine","cys500","3","A","7",-6.54890866241337
"romaine","cys500","3","A","8",-6.45505534325416
"romaine","cys500","3","A","9",-8.32654916488853
"romaine","cys500","3","B","1",0.480454332997605
"romaine","cys500","3","B","2",-0.862697884299554
"romaine","cys500","3","B","3",-0.232141539991699
"romaine","cys500","3","B","4",-1.02761367103913
"romaine","cys500","3","B","5",-3.72223628457041
"romaine","cys500","3","B","6",-4.61686191664795
"romaine","cys500","3","B","7",-4.07729760753367
"romaine","cys500","3","B","8",-4.21269545084886
"romaine","cys500","3","B","9",-7.34080192312693
"romaine","cys500","3","C","1",2.37494479379172
"romaine","cys500","3","C","2",-3.58376326896012
"romaine","cys500","3","C","3",-2.4382908018555
"romaine","cys500","3","C","4",-4.3580037888193
"romaine","cys500","3","C","5",-3.88988620859195
"romaine","cys500","3","C","6",-4.18811878800869
"romaine","cys500","3","C","7",-3.0043026371983
"romaine","cys500","3","C","8",-7.64998424060903
"romaine","cys500","3","C","9",-8.65599140187376
"romaine","cys500","3","D","1",0.25882636024487
"romaine","cys500","3","D","2",0.0874510255711888
"romaine","cys500","3","D","3",1.21232189384246
"romaine","cys500","3","D","4",0.690337025623825
"romaine","cys500","3","D","5",-1.27274259727777
"romaine","cys500","3","D","6",0.449808833619175
"romaine","cys500","3","D","7",-1.98893708288532
"romaine","cys500","3","D","8",-4.70455616569766
"romaine","cys500","3","D","9",-6.71242949638183
"romaine","cys500","5","A","1",9.3023883985914
"romaine","cys500","5","A","2",10.1501119129611
"romaine","cys500","5","A","3",10.4338091214765
"romaine","cys500","5","A","4",9.1990228319567
"romaine","cys500","5","A","5",3.08203748686688
"romaine","cys500","5","A","6",3.43025929638285
"romaine","cys500","5","A","7",-1.46382783594634
"romaine","cys500","5","A","8",-1.576998704168
"romaine","cys500","5","A","9",-4.45550372157426
"romaine","cys500","5","B","1",9.15187544369027
"romaine","cys500","5","B","2",5.04440778596318
"romaine","cys500","5","B","3",8.33509960426883
"romaine","cys500","5","B","4",8.09880489172842
"romaine","cys500","5","B","5",4.91255890291961
"romaine","cys500","5","B","6",0.679684340388768
"romaine","cys500","5","B","7",2.51272471543153
"romaine","cys500","5","B","8",1.27229859769812
"romaine","cys500","5","B","9",-2.41896195094319
"romaine","cys500","5","C","1",7.13953656953782
"romaine","cys500","5","C","2",3.4727949894957
"romaine","cys500","5","C","3",1.67066843765612
"romaine","cys500","5","C","4",0.0230675847610895
"romaine","cys500","5","C","5",-0.159048862652287
"romaine","cys500","5","C","6",-1.56231878322889
"romaine","cys500","5","C","7",-3.43015846840522
"romaine","cys500","5","C","8",-5.35690820146965
"romaine","cys500","5","C","9",-6.17069238631368
"romaine","cys500","5","D","1",8.33939981741672
"romaine","cys500","5","D","2",10.2247307670699
"romaine","cys500","5","D","3",11.6487340341623
"romaine","cys500","5","D","4",9.94364256432948
"romaine","cys500","5","D","5",8.25833325481863
"romaine","cys500","5","D","6",8.85163067440517
"romaine","cys500","5","D","7",4.58415728047716
"romaine","cys500","5","D","8",2.55075601782533
"romaine","cys500","5","D","9",0.562524289861882
"romaine","mel1000","1","A","1",-6.42399408660516
"romaine","mel1000","1","A","2",-7.31455639430071
"romaine","mel1000","1","A","3",-9.61446315048812
"romaine","mel1000","1","A","4",-11.1019502935374
"romaine","mel1000","1","A","5",-11.5993010829677
"romaine","mel1000","1","A","6",-12.1004771665751
"romaine","mel1000","1","A","7",-11.3118407240641
"romaine","mel1000","1","A","8",-10.1118503442189
"romaine","mel1000","1","A","9",-10.0606704156984
"romaine","mel1000","1","B","1",-8.30097843106258
"romaine","mel1000","1","B","2",-9.12939551614746
"romaine","mel1000","1","B","3",-9.23398421130982
"romaine","mel1000","1","B","4",-10.651362672932
"romaine","mel1000","1","B","5",-10.0542691174369
"romaine","mel1000","1","B","6",-12.1823628203754
"romaine","mel1000","1","B","7",-12.5217664603741
"romaine","mel1000","1","B","8",-12.2266697644639
"romaine","mel1000","1","B","9",-10.7124881173233
"romaine","mel1000","1","C","1",-2.91733454593575
"romaine","mel1000","1","C","2",-2.24611008359739
"romaine","mel1000","1","C","3",-5.13680405313808
"romaine","mel1000","1","C","4",-6.95819211625176
"romaine","mel1000","1","C","5",-7.00295631074564
"romaine","mel1000","1","C","6",-8.31148336668813
"romaine","mel1000","1","C","7",-11.3775850708444
"romaine","mel1000","1","C","8",-11.0383115626667
"romaine","mel1000","1","C","9",-12.3988516252795
"romaine","mel1000","1","D","1",-5.14798084089702
"romaine","mel1000","1","D","2",-5.32863626008177
"romaine","mel1000","1","D","3",-6.12224705583257
"romaine","mel1000","1","D","4",-6.62022752292764
"romaine","mel1000","1","D","5",-7.70794509137304
"romaine","mel1000","1","D","6",-9.0684030718949
"romaine","mel1000","1","D","7",-10.2934197967299
"romaine","mel1000","1","D","8",-10.614786116218
"romaine","mel1000","1","D","9",-11.0942023200272
"romaine","mel1000","3","A","1",-4.93335002947031
"romaine","mel1000","3","A","2",-5.78313131772891
"romaine","mel1000","3","A","3",-7.13044285498952
"romaine","mel1000","3","A","4",-8.22653665688464
"romaine","mel1000","3","A","5",-8.69419585325848
"romaine","mel1000","3","A","6",-9.53120278743919
"romaine","mel1000","3","A","7",-8.58280985928583
"romaine","mel1000","3","A","8",-7.95281696395532
"romaine","mel1000","3","A","9",-7.6576218100132
"romaine","mel1000","3","B","1",-6.67140484965088
"romaine","mel1000","3","B","2",-7.06615534612246
"romaine","mel1000","3","B","3",-7.32600512812729
"romaine","mel1000","3","B","4",-7.62251786204414
"romaine","mel1000","3","B","5",-8.25980711292725
"romaine","mel1000","3","B","6",-9.21527430759129
"romaine","mel1000","3","B","7",-8.51854102001253
"romaine","mel1000","3","B","8",-8.35019612162498
"romaine","mel1000","3","B","9",-8.28660679558324
"romaine","mel1000","3","C","1",-1.40642649853626
"romaine","mel1000","3","C","2",0.0117592849768631
"romaine","mel1000","3","C","3",-4.41334180453858
"romaine","mel1000","3","C","4",-5.59778501793615
"romaine","mel1000","3","C","5",-5.03604618773471
"romaine","mel1000","3","C","6",-6.53662846664355
"romaine","mel1000","3","C","7",-8.48751500802817
"romaine","mel1000","3","C","8",-9.15310041243173
"romaine","mel1000","3","C","9",-9.67751133484859
"romaine","mel1000","3","D","1",-4.09442805817307
"romaine","mel1000","3","D","2",-3.85060106059058
"romaine","mel1000","3","D","3",-4.69394476571864
"romaine","mel1000","3","D","4",-5.32597983640486
"romaine","mel1000","3","D","5",-6.74608714920152
"romaine","mel1000","3","D","6",-7.48435737076514
"romaine","mel1000","3","D","7",-7.76338538055537
"romaine","mel1000","3","D","8",-8.69569634156853
"romaine","mel1000","3","D","9",-8.77969544443274
"romaine","mel1000","5","A","1",-1.59624596639384
"romaine","mel1000","5","A","2",-3.64920919256021
"romaine","mel1000","5","A","3",-3.9334065754207
"romaine","mel1000","5","A","4",-6.44492048000209
"romaine","mel1000","5","A","5",-7.28157226605469
"romaine","mel1000","5","A","6",-7.25754412494776
"romaine","mel1000","5","A","7",-6.88764954895223
"romaine","mel1000","5","A","8",-6.94799456055821
"romaine","mel1000","5","A","9",-5.55305924190389
"romaine","mel1000","5","B","1",-4.78225608271281
"romaine","mel1000","5","B","2",-4.90825899669111
"romaine","mel1000","5","B","3",-6.68592417282748
"romaine","mel1000","5","B","4",-5.93835089703675
"romaine","mel1000","5","B","5",-7.18859070382534
"romaine","mel1000","5","B","6",-7.06902115648256
"romaine","mel1000","5","B","7",-6.68409988176918
"romaine","mel1000","5","B","8",-6.02389738625283
"romaine","mel1000","5","B","9",-8.31918452596553
"romaine","mel1000","5","C","1",0.686408833867883
"romaine","mel1000","5","C","2",2.79819263630861
"romaine","mel1000","5","C","3",-2.84561556416883
"romaine","mel1000","5","C","4",-3.50732672966633
"romaine","mel1000","5","C","5",-2.32226709395657
"romaine","mel1000","5","C","6",-4.77060610150964
"romaine","mel1000","5","C","7",-6.6373803214018
"romaine","mel1000","5","C","8",-7.41641022294628
"romaine","mel1000","5","C","9",-9.45822341471803
"romaine","mel1000","5","D","1",0.250488339848699
"romaine","mel1000","5","D","2",0.594186763432111
"romaine","mel1000","5","D","3",0.451804814817764
"romaine","mel1000","5","D","4",-1.49408247988782
"romaine","mel1000","5","D","5",-3.61070896026058
"romaine","mel1000","5","D","6",-2.9850775199242
"romaine","mel1000","5","D","7",-4.62703090345184
"romaine","mel1000","5","D","8",-7.49576517796944
"romaine","mel1000","5","D","9",-8.49474366450102
