"","variety","treatment","day","rib","cutSite","aStarMean"
"91","iceberg","mel1000","1","B","1","-1.56422195770907"
"92","iceberg","mel1000","1","B","2","-1.39933346370973"
"93","iceberg","mel1000","1","B","3","-1.39112236912297"
"94","iceberg","mel1000","1","C","1","-2.20146749866514"
"95","iceberg","mel1000","1","C","2","-3.8390336166108"
"96","iceberg","mel1000","1","C","3","-5.23166510286894"
"97","iceberg","mel1000","1","D","1","-1.39425345183402"
"98","iceberg","mel1000","1","D","2","-2.05922206212119"
"99","iceberg","mel1000","1","D","3","-2.59055470949476"
"100","iceberg","mel1000","1","D","4","-3.14038075187118"
"101","iceberg","mel1000","3","A","1","-0.589335055770632"
"102","iceberg","mel1000","3","A","2","-1.74635114287744"
"103","iceberg","mel1000","3","A","3","-1.63663917582412"
"104","iceberg","mel1000","3","B","1","-0.46435723320159"
"105","iceberg","mel1000","3","B","2","-0.549921366216354"
"106","iceberg","mel1000","3","B","3","0.170365073357547"
"107","iceberg","mel1000","3","C","1","-1.06041066991691"
"108","iceberg","mel1000","3","C","2","-3.12338394834249"
"109","iceberg","mel1000","3","C","3","-2.80854112182106"
"110","iceberg","mel1000","3","D","1","0.212140857765171"
"111","iceberg","mel1000","3","D","2","-0.137161898231583"
"112","iceberg","mel1000","3","D","3","0.107706867766658"
"113","iceberg","mel1000","3","D","4","0.453398399914117"
"114","iceberg","mel1000","5","A","1","-0.224883066018936"
"115","iceberg","mel1000","5","A","2","-0.808128454398774"
"116","iceberg","mel1000","5","A","3","-1.06117146730749"
"117","iceberg","mel1000","5","B","1","0.395283819031967"
"118","iceberg","mel1000","5","B","2","-0.259377501182163"
"119","iceberg","mel1000","5","B","3","-0.444673185532576"
"120","iceberg","mel1000","5","C","1","0.99790045661828"
"121","iceberg","mel1000","5","C","2","-2.62162169905714"
"122","iceberg","mel1000","5","C","3","-2.82389791253423"
"123","iceberg","mel1000","5","D","1","0.267452990476081"
"124","iceberg","mel1000","5","D","2","1.09629678690998"
"125","iceberg","mel1000","5","D","3","-0.0968921160256998"
"126","iceberg","mel1000","5","D","4","0.365017991094725"
"127","romaine","control","1","A","1","-0.561469263031266"
"128","romaine","control","1","A","2","-1.70679075156112"
"129","romaine","control","1","A","3","-1.58067644197439"
"130","romaine","control","1","A","4","-4.12933715185404"
"131","romaine","control","1","A","5","-5.7814113686354"
"132","romaine","control","1","A","6","-7.78753952492022"
"133","romaine","control","1","A","7","-9.20990847206611"
"134","romaine","control","1","A","8","-8.53201742381778"
"135","romaine","control","1","A","9","-8.31114531084208"
"136","romaine","control","1","B","1","-0.688596795958366"
"137","romaine","control","1","B","2","-1.67483552243584"
"138","romaine","control","1","B","3","-2.66100696831877"
"139","romaine","control","1","B","4","-3.44719281597504"
"140","romaine","control","1","B","5","-5.0070815846334"
"141","romaine","control","1","B","6","-5.88789507803785"
"142","romaine","control","1","B","7","-7.03785035214475"
"143","romaine","control","1","B","8","-8.27364401692865"
"144","romaine","control","1","B","9","-8.43112307178079"
"145","romaine","control","1","C","1","-4.75270680567538"
"146","romaine","control","1","C","2","-4.74952265558398"
"147","romaine","control","1","C","3","-7.37451192967369"
"148","romaine","control","1","C","4","-8.12919769600505"
"149","romaine","control","1","C","5","-7.72378175941085"
"150","romaine","control","1","C","6","-9.6541458948005"
"151","romaine","control","1","C","7","-9.74618160873291"
"152","romaine","control","1","C","8","-9.95859077503469"
"153","romaine","control","1","C","9","-10.4490124810538"
"154","romaine","control","1","D","1","-0.303103518567959"
"155","romaine","control","1","D","2","0.805420493794338"
"156","romaine","control","1","D","3","0.0981034720735668"
"157","romaine","control","1","D","4","0.0862522617452296"
"158","romaine","control","1","D","5","-1.10188642330793"
"159","romaine","control","1","D","6","-1.49480378858198"
"160","romaine","control","1","D","7","-3.08399355572157"
"161","romaine","control","1","D","8","-3.55871228861739"
"162","romaine","control","1","D","9","-4.04954094124643"
"163","romaine","control","3","A","1","1.9612814296595"
"164","romaine","control","3","A","2","1.68413562413874"
"165","romaine","control","3","A","3","1.09498850843026"
"166","romaine","control","3","A","4","-2.01363289252857"
"167","romaine","control","3","A","5","-3.77358472804589"
"168","romaine","control","3","A","6","-3.45647696891757"
"169","romaine","control","3","A","7","-6.8208436069824"
"170","romaine","control","3","A","8","-5.38152784456971"
"171","romaine","control","3","A","9","-5.3982788128467"
"172","romaine","control","3","B","1","1.22905186904299"
"173","romaine","control","3","B","2","0.766620132928016"
"174","romaine","control","3","B","3","0.315119266729227"
"175","romaine","control","3","B","4","-0.513995672734727"
"176","romaine","control","3","B","5","-1.58013445805967"
"177","romaine","control","3","B","6","-3.0837253814388"
"178","romaine","control","3","B","7","-5.33129393737738"
"179","romaine","control","3","B","8","-5.70279434642075"
"180","romaine","control","3","B","9","-6.2196363810865"
"181","romaine","control","3","C","1","0.696729018588602"
"182","romaine","control","3","C","2","-0.195629336372142"
"183","romaine","control","3","C","3","-3.42272946774512"
"184","romaine","control","3","C","4","-4.28560423911263"
"185","romaine","control","3","C","5","-3.72536297041953"
"186","romaine","control","3","C","6","-6.09759623664158"
"187","romaine","control","3","C","7","-7.04984600935959"
"188","romaine","control","3","C","8","-7.50295592977193"
"189","romaine","control","3","C","9","-7.47717121052392"
"190","romaine","control","3","D","1","1.57925105505633"
"191","romaine","control","3","D","2","3.09561370304408"
"192","romaine","control","3","D","3","1.30656584445175"
"193","romaine","control","3","D","4","1.59469116820126"
"194","romaine","control","3","D","5","-0.735374024073167"
"195","romaine","control","3","D","6","-0.475043145220252"
"196","romaine","control","3","D","7","-2.80895482120282"
"197","romaine","control","3","D","8","-2.92475218321762"
"198","romaine","control","3","D","9","-4.11334193057698"
"199","romaine","control","5","A","1","3.03508862258062"
"200","romaine","control","5","A","2","2.86113041948862"
"201","romaine","control","5","A","3","3.00677426894419"
"202","romaine","control","5","A","4","-0.640893992292889"
"203","romaine","control","5","A","5","-1.59607743204445"
"204","romaine","control","5","A","6","-2.39453488244309"
"205","romaine","control","5","A","7","-6.00077787298628"
"206","romaine","control","5","A","8","-5.13565956367081"
"207","romaine","control","5","A","9","-5.00845907437719"
"208","romaine","control","5","B","1","2.30075934704585"
"209","romaine","control","5","B","2","2.67935245272423"
"210","romaine","control","5","B","3","3.4504646767506"
"211","romaine","control","5","B","4","2.59395699076718"
"212","romaine","control","5","B","5","-0.340378989343855"
"213","romaine","control","5","B","6","-1.24637813867252"
"214","romaine","control","5","B","7","-4.68701978776233"
"215","romaine","control","5","B","8","-5.23864981662991"
"216","romaine","control","5","B","9","-4.68821359922035"
"217","romaine","control","5","C","1","2.91999954315717"
"218","romaine","control","5","C","2","1.89300227248577"
"219","romaine","control","5","C","3","-1.88447897885616"
"220","romaine","control","5","C","4","-2.39494151744139"
"221","romaine","control","5","C","5","-2.348816383477"
"222","romaine","control","5","C","6","-4.47887799448169"
"223","romaine","control","5","C","7","-6.92885077511761"
"224","romaine","control","5","C","8","-7.66185218511155"
"225","romaine","control","5","C","9","-6.9415378222046"
"226","romaine","control","5","D","1","4.66862002066161"
"227","romaine","control","5","D","2","5.67650770249957"
"228","romaine","control","5","D","3","3.1431220926858"
"229","romaine","control","5","D","4","2.99808190262756"
"230","romaine","control","5","D","5","0.349697857645607"
"231","romaine","control","5","D","6","1.91958183872749"
"232","romaine","control","5","D","7","-1.91352261751765"
"233","romaine","control","5","D","8","-1.44151237694681"
"234","romaine","control","5","D","9","-2.90979308892665"
"235","romaine","cys500","1","A","1","-3.54807495836755"
"236","romaine","cys500","1","A","2","-4.06217582158489"
"237","romaine","cys500","1","A","3","-2.66960698910975"
"238","romaine","cys500","1","A","4","-3.78454190715836"
"239","romaine","cys500","1","A","5","-5.37531063330175"
"240","romaine","cys500","1","A","6","-6.73458875553213"
"241","romaine","cys500","1","A","7","-7.70007466445423"
"242","romaine","cys500","1","A","8","-8.85152838486252"
"243","romaine","cys500","1","A","9","-10.0581105334275"
"244","romaine","cys500","1","B","1","-3.19891075856882"
"245","romaine","cys500","1","B","2","-4.70460397605662"
"246","romaine","cys500","1","B","3","-5.13885632251698"
"247","romaine","cys500","1","B","4","-6.28418901790657"
"248","romaine","cys500","1","B","5","-6.57117516975087"
"249","romaine","cys500","1","B","6","-6.66514718450766"
"250","romaine","cys500","1","B","7","-7.68964023826714"
"251","romaine","cys500","1","B","8","-8.72304831749277"
"252","romaine","cys500","1","B","9","-10.7228595536326"
"253","romaine","cys500","1","C","1","-5.64804439939895"
"254","romaine","cys500","1","C","2","-6.91065320640877"
"255","romaine","cys500","1","C","3","-7.21005016160569"
"256","romaine","cys500","1","C","4","-7.69559535528672"
"257","romaine","cys500","1","C","5","-7.75951090785712"
"258","romaine","cys500","1","C","6","-8.76667502303001"
"259","romaine","cys500","1","C","7","-8.36053821760171"
"260","romaine","cys500","1","C","8","-10.5571108301265"
"261","romaine","cys500","1","C","9","-10.8553734331867"
"262","romaine","cys500","1","D","1","-2.57013050120245"
"263","romaine","cys500","1","D","2","-2.92260670654333"
"264","romaine","cys500","1","D","3","-3.68762145215749"
"265","romaine","cys500","1","D","4","-4.0794379879391"
"266","romaine","cys500","1","D","5","-4.73497687633811"
"267","romaine","cys500","1","D","6","-5.24170834039928"
"268","romaine","cys500","1","D","7","-6.72296053613845"
"269","romaine","cys500","1","D","8","-7.7208538494185"
"270","romaine","cys500","1","D","9","-8.86123604968707"
"271","romaine","cys500","3","A","1","-0.961505487781164"
"272","romaine","cys500","3","A","2","-0.281177196277979"
"273","romaine","cys500","3","A","3","2.54797323502434"
"274","romaine","cys500","3","A","4","1.05969949697393"
"275","romaine","cys500","3","A","5","-2.96393864413083"
"276","romaine","cys500","3","A","6","-3.60376006638721"
"277","romaine","cys500","3","A","7","-6.54890866241337"
"278","romaine","cys500","3","A","8","-6.45505534325416"
"279","romaine","cys500","3","A","9","-8.32654916488853"
"280","romaine","cys500","3","B","1","0.480454332997605"
"281","romaine","cys500","3","B","2","-0.862697884299554"
"282","romaine","cys500","3","B","3","-0.232141539991699"
"283","romaine","cys500","3","B","4","-1.02761367103913"
"284","romaine","cys500","3","B","5","-3.72223628457041"
"285","romaine","cys500","3","B","6","-4.61686191664795"
"286","romaine","cys500","3","B","7","-4.07729760753367"
"287","romaine","cys500","3","B","8","-4.21269545084886"
"288","romaine","cys500","3","B","9","-7.34080192312693"
"289","romaine","cys500","3","C","1","2.37494479379172"
"290","romaine","cys500","3","C","2","-3.58376326896012"
"291","romaine","cys500","3","C","3","-2.4382908018555"
"292","romaine","cys500","3","C","4","-4.3580037888193"
"293","romaine","cys500","3","C","5","-3.88988620859195"
"294","romaine","cys500","3","C","6","-4.18811878800869"
"295","romaine","cys500","3","C","7","-3.0043026371983"
"296","romaine","cys500","3","C","8","-7.64998424060903"
"297","romaine","cys500","3","C","9","-8.65599140187376"
"298","romaine","cys500","3","D","1","0.25882636024487"
"299","romaine","cys500","3","D","2","0.0874510255711888"
"300","romaine","cys500","3","D","3","1.21232189384246"
"301","romaine","cys500","3","D","4","0.690337025623825"
"302","romaine","cys500","3","D","5","-1.27274259727777"
"303","romaine","cys500","3","D","6","0.449808833619175"
"304","romaine","cys500","3","D","7","-1.98893708288532"
"305","romaine","cys500","3","D","8","-4.70455616569766"
"306","romaine","cys500","3","D","9","-6.71242949638183"
"307","romaine","cys500","5","A","1","9.3023883985914"
"308","romaine","cys500","5","A","2","10.1501119129611"
"309","romaine","cys500","5","A","3","10.4338091214765"
"310","romaine","cys500","5","A","4","9.1990228319567"
"311","romaine","cys500","5","A","5","3.08203748686688"
"312","romaine","cys500","5","A","6","3.43025929638285"
"313","romaine","cys500","5","A","7","-1.46382783594634"
"314","romaine","cys500","5","A","8","-1.576998704168"
"315","romaine","cys500","5","A","9","-4.45550372157426"
"316","romaine","cys500","5","B","1","9.15187544369027"
"317","romaine","cys500","5","B","2","5.04440778596318"
"318","romaine","cys500","5","B","3","8.33509960426883"
"319","romaine","cys500","5","B","4","8.09880489172842"
"320","romaine","cys500","5","B","5","4.91255890291961"
"321","romaine","cys500","5","B","6","0.679684340388768"
"322","romaine","cys500","5","B","7","2.51272471543153"
"323","romaine","cys500","5","B","8","1.27229859769812"
"324","romaine","cys500","5","B","9","-2.41896195094319"
"325","romaine","cys500","5","C","1","7.13953656953782"
"326","romaine","cys500","5","C","2","3.4727949894957"
"327","romaine","cys500","5","C","3","1.67066843765612"
"328","romaine","cys500","5","C","4","0.0230675847610895"
"329","romaine","cys500","5","C","5","-0.159048862652287"
"330","romaine","cys500","5","C","6","-1.56231878322889"
"331","romaine","cys500","5","C","7","-3.43015846840522"
"332","romaine","cys500","5","C","8","-5.35690820146965"
"333","romaine","cys500","5","C","9","-6.17069238631368"
"334","romaine","cys500","5","D","1","8.33939981741672"
"335","romaine","cys500","5","D","2","10.2247307670699"
"336","romaine","cys500","5","D","3","11.6487340341623"
"337","romaine","cys500","5","D","4","9.94364256432948"
"338","romaine","cys500","5","D","5","8.25833325481863"
"339","romaine","cys500","5","D","6","8.85163067440517"
"340","romaine","cys500","5","D","7","4.58415728047716"
"341","romaine","cys500","5","D","8","2.55075601782533"
"342","romaine","cys500","5","D","9","0.562524289861882"
"343","romaine","mel1000","1","A","1","-6.42399408660516"
"344","romaine","mel1000","1","A","2","-7.31455639430071"
"345","romaine","mel1000","1","A","3","-9.61446315048812"
"346","romaine","mel1000","1","A","4","-11.1019502935374"
"347","romaine","mel1000","1","A","5","-11.5993010829677"
"348","romaine","mel1000","1","A","6","-12.1004771665751"
"349","romaine","mel1000","1","A","7","-11.3118407240641"
"350","romaine","mel1000","1","A","8","-10.1118503442189"
"351","romaine","mel1000","1","A","9","-10.0606704156984"
"352","romaine","mel1000","1","B","1","-8.30097843106258"
"353","romaine","mel1000","1","B","2","-9.12939551614746"
"354","romaine","mel1000","1","B","3","-9.23398421130982"
"355","romaine","mel1000","1","B","4","-10.651362672932"
"356","romaine","mel1000","1","B","5","-10.0542691174369"
"357","romaine","mel1000","1","B","6","-12.1823628203754"
"358","romaine","mel1000","1","B","7","-12.5217664603741"
"359","romaine","mel1000","1","B","8","-12.2266697644639"
"360","romaine","mel1000","1","B","9","-10.7124881173233"
"361","romaine","mel1000","1","C","1","-2.91733454593575"
"362","romaine","mel1000","1","C","2","-2.24611008359739"
"363","romaine","mel1000","1","C","3","-5.13680405313808"
"364","romaine","mel1000","1","C","4","-6.95819211625176"
"365","romaine","mel1000","1","C","5","-7.00295631074564"
"366","romaine","mel1000","1","C","6","-8.31148336668813"
"367","romaine","mel1000","1","C","7","-11.3775850708444"
"368","romaine","mel1000","1","C","8","-11.0383115626667"
"369","romaine","mel1000","1","C","9","-12.3988516252795"
"370","romaine","mel1000","1","D","1","-5.14798084089702"
"371","romaine","mel1000","1","D","2","-5.32863626008177"
"372","romaine","mel1000","1","D","3","-6.12224705583257"
"373","romaine","mel1000","1","D","4","-6.62022752292764"
"374","romaine","mel1000","1","D","5","-7.70794509137304"
"375","romaine","mel1000","1","D","6","-9.0684030718949"
"376","romaine","mel1000","1","D","7","-10.2934197967299"
"377","romaine","mel1000","1","D","8","-10.614786116218"
"378","romaine","mel1000","1","D","9","-11.0942023200272"
"379","romaine","mel1000","3","A","1","-4.93335002947031"
"380","romaine","mel1000","3","A","2","-5.78313131772891"
"381","romaine","mel1000","3","A","3","-7.13044285498952"
"382","romaine","mel1000","3","A","4","-8.22653665688464"
"383","romaine","mel1000","3","A","5","-8.69419585325848"
"384","romaine","mel1000","3","A","6","-9.53120278743919"
"385","romaine","mel1000","3","A","7","-8.58280985928583"
"386","romaine","mel1000","3","A","8","-7.95281696395532"
"387","romaine","mel1000","3","A","9","-7.6576218100132"
"388","romaine","mel1000","3","B","1","-6.67140484965088"
"389","romaine","mel1000","3","B","2","-7.06615534612246"
"390","romaine","mel1000","3","B","3","-7.32600512812729"
"391","romaine","mel1000","3","B","4","-7.62251786204414"
"392","romaine","mel1000","3","B","5","-8.25980711292725"
"393","romaine","mel1000","3","B","6","-9.21527430759129"
"394","romaine","mel1000","3","B","7","-8.51854102001253"
"395","romaine","mel1000","3","B","8","-8.35019612162498"
"396","romaine","mel1000","3","B","9","-8.28660679558324"
"397","romaine","mel1000","3","C","1","-1.40642649853626"
"398","romaine","mel1000","3","C","2","0.0117592849768631"
"399","romaine","mel1000","3","C","3","-4.41334180453858"
"400","romaine","mel1000","3","C","4","-5.59778501793615"
"401","romaine","mel1000","3","C","5","-5.03604618773471"
"402","romaine","mel1000","3","C","6","-6.53662846664355"
"403","romaine","mel1000","3","C","7","-8.48751500802817"
"404","romaine","mel1000","3","C","8","-9.15310041243173"
"405","romaine","mel1000","3","C","9","-9.67751133484859"
"406","romaine","mel1000","3","D","1","-4.09442805817307"
"407","romaine","mel1000","3","D","2","-3.85060106059058"
"408","romaine","mel1000","3","D","3","-4.69394476571864"
"409","romaine","mel1000","3","D","4","-5.32597983640486"
"410","romaine","mel1000","3","D","5","-6.74608714920152"
"411","romaine","mel1000","3","D","6","-7.48435737076514"
"412","romaine","mel1000","3","D","7","-7.76338538055537"
"413","romaine","mel1000","3","D","8","-8.69569634156853"
"414","romaine","mel1000","3","D","9","-8.77969544443274"
"415","romaine","mel1000","5","A","1","-1.59624596639384"
"416","romaine","mel1000","5","A","2","-3.64920919256021"
"417","romaine","mel1000","5","A","3","-3.9334065754207"
"418","romaine","mel1000","5","A","4","-6.44492048000209"
"419","romaine","mel1000","5","A","5","-7.28157226605469"
"420","romaine","mel1000","5","A","6","-7.25754412494776"
"421","romaine","mel1000","5","A","7","-6.88764954895223"
"422","romaine","mel1000","5","A","8","-6.94799456055821"
"423","romaine","mel1000","5","A","9","-5.55305924190389"
"424","romaine","mel1000","5","B","1","-4.78225608271281"
"425","romaine","mel1000","5","B","2","-4.90825899669111"
"426","romaine","mel1000","5","B","3","-6.68592417282748"
"427","romaine","mel1000","5","B","4","-5.93835089703675"
"428","romaine","mel1000","5","B","5","-7.18859070382534"
"429","romaine","mel1000","5","B","6","-7.06902115648256"
"430","romaine","mel1000","5","B","7","-6.68409988176918"
"431","romaine","mel1000","5","B","8","-6.02389738625283"
"432","romaine","mel1000","5","B","9","-8.31918452596553"
"433","romaine","mel1000","5","C","1","0.686408833867883"
"434","romaine","mel1000","5","C","2","2.79819263630861"
"435","romaine","mel1000","5","C","3","-2.84561556416883"
"436","romaine","mel1000","5","C","4","-3.50732672966633"
"437","romaine","mel1000","5","C","5","-2.32226709395657"
"438","romaine","mel1000","5","C","6","-4.77060610150964"
"439","romaine","mel1000","5","C","7","-6.6373803214018"
"440","romaine","mel1000","5","C","8","-7.41641022294628"
"441","romaine","mel1000","5","C","9","-9.45822341471803"
"442","romaine","mel1000","5","D","1","0.250488339848699"
"443","romaine","mel1000","5","D","2","0.594186763432111"
"444","romaine","mel1000","5","D","3","0.451804814817764"
"445","romaine","mel1000","5","D","4","-1.49408247988782"
"446","romaine","mel1000","5","D","5","-3.61070896026058"
"447","romaine","mel1000","5","D","6","-2.9850775199242"
"448","romaine","mel1000","5","D","7","-4.62703090345184"
"449","romaine","mel1000","5","D","8","-7.49576517796944"
"450","romaine","mel1000","5","D","9","-8.49474366450102"
